depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.75,24.14,14.61,7.3
5-15cm,37.15,22.7,14.44,14.44
15-30cm,37.26,23.74,13.52,20.28
30-60cm,35.8,22.48,13.32,39.96
60-100cm,36.57,23.46,13.11,52.42
