depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,41.23,25.08,16.15,8.08
5-15cm,39.75,24.38,15.37,15.37
15-30cm,38.09,23.72,14.37,21.55
30-60cm,37.29,23.15,14.15,42.44
60-100cm,37.15,23.01,14.13,56.53
