depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.82,24.5,14.33,7.16
5-15cm,38.57,24.73,13.84,13.84
15-30cm,38.33,24.45,13.88,20.81
30-60cm,38.5,24.72,13.78,41.33
60-100cm,39.08,25.5,13.58,54.3
