property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,52.12500000000001,52.56250000000001,52.56250000000001,53.12500000000001,53.5625
soc,453.0,410.0,334.0,328.0,304.0
clay,390.5625,393.31250000000006,426.75,433.6875,441.5625
sand,280.06250000000006,272.625,255.87500000000003,247.50000000000003,244.56250000000003
silt,329.37500000000006,333.625,317.9375,318.81250000000006,313.87500000000006
bdod,110.0,113.0,116.0,120.0,120.0
cec,181.9375,182.56250000000003,171.06250000000003,165.18750000000003,162.625
