depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.21,22.53,15.68,7.84
5-15cm,37.87,22.95,14.92,14.92
15-30cm,37.74,23.56,14.18,21.27
30-60cm,39.34,26.03,13.31,39.93
60-100cm,39.18,25.75,13.44,53.74
