depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,37.76,23.55,14.2,7.1
5-15cm,36.52,22.9,13.62,13.62
15-30cm,38.3,25.24,13.06,19.59
30-60cm,38.29,25.25,13.04,39.11
60-100cm,37.86,24.75,13.11,52.46
