depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,42.52,25.45,17.06,8.53
5-15cm,41.37,25.04,16.33,16.33
15-30cm,39.23,23.84,15.39,23.08
30-60cm,37.73,23.7,14.03,42.09
60-100cm,37.57,24.41,13.16,52.65
