depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.92,23.86,15.06,7.53
5-15cm,36.92,22.73,14.2,14.2
15-30cm,35.76,22.85,12.91,19.36
30-60cm,35.79,23.03,12.75,38.26
60-100cm,35.85,23.22,12.63,50.52
