depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,40.06,24.72,15.34,7.67
5-15cm,38.0,23.42,14.57,14.57
15-30cm,38.38,24.69,13.69,20.53
30-60cm,39.87,26.95,12.92,38.77
60-100cm,40.26,27.36,12.9,51.59
