depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,34.63,20.26,14.37,7.18
5-15cm,32.68,19.17,13.51,13.51
15-30cm,33.35,20.33,13.02,19.53
30-60cm,35.68,22.79,12.89,38.67
60-100cm,37.51,24.59,12.92,51.7
