property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,49.4,50.0,50.0,51.0,51.4
soc,378.6375,363.58750000000003,304.1,340.5875,351.2625
clay,318.8,332.0,380.2,400.20000000000005,403.6
sand,309.2,299.0,269.8,271.2,262.0
silt,372.00000000000006,368.99999999999994,350.6,328.6,333.8
bdod,111.51250000000003,112.9375,116.95000000000002,119.11250000000003,121.75000000000003
cec,166.8,158.2,148.60000000000002,143.79999999999998,144.39999999999998
