depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,41.64,24.3,17.34,8.67
5-15cm,39.69,23.73,15.97,15.97
15-30cm,41.23,24.63,16.6,24.89
30-60cm,41.35,26.52,14.83,44.5
60-100cm,40.5,26.24,14.26,57.04
