depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,37.82,23.21,14.61,7.31
5-15cm,36.9,22.82,14.07,14.07
15-30cm,37.29,23.81,13.48,20.22
30-60cm,38.24,25.03,13.21,39.62
60-100cm,39.38,26.34,13.04,52.18
