depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.43,23.6,15.82,7.91
5-15cm,36.38,21.8,14.57,14.57
15-30cm,35.33,21.62,13.71,20.56
30-60cm,36.84,23.73,13.11,39.32
60-100cm,37.34,24.3,13.03,52.14
