depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,37.05,22.57,14.47,7.24
5-15cm,36.65,22.41,14.24,14.24
15-30cm,35.52,21.68,13.84,20.76
30-60cm,36.19,22.83,13.36,40.07
60-100cm,36.24,22.82,13.42,53.66
