depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.41,23.48,14.93,7.46
5-15cm,36.86,22.45,14.41,14.41
15-30cm,35.98,21.92,14.05,21.08
30-60cm,36.69,22.78,13.91,41.73
60-100cm,35.77,21.81,13.96,55.83
