depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,42.45,25.98,16.46,8.23
5-15cm,40.05,24.34,15.71,15.71
15-30cm,37.75,23.39,14.35,21.53
30-60cm,37.44,24.01,13.43,40.3
60-100cm,37.77,24.5,13.27,53.06
