crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
cacao_ccn51,2016-12-16,2016-12-31,2016-12_Q2,119.93,-0.298,0.724,0.558,-1.247,110.8,84.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4533,25.8387,LOW
cacao_ccn51,2017-01-01,2017-01-15,2017-01_Q1,119.93,-0.364,-0.335,0.586,-1.074,95.96,61.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.8934,LOW
cacao_ccn51,2017-01-16,2017-01-31,2017-01_Q2,119.93,0.893,0.965,0.542,-0.487,148.76,116.43,1.0,0.0,0.0,0.0,0.0,0.0,1.3627,10.08,0.0,18.1195,LOW
cacao_ccn51,2017-02-01,2017-02-15,2017-02_Q1,119.93,0.698,0.77,0.4,-0.511,124.97,69.27,1.0,0.0,0.0,0.0,0.0,0.0,7.2799,54.48,0.0,18.2084,LOW
cacao_ccn51,2017-02-16,2017-02-28,2017-02_Q2,119.93,0.115,0.375,0.542,-0.242,105.62,105.44,1.0,0.0,0.0,0.0,0.0,0.0,8.0871,61.14,0.0,12.5224,LOW
cacao_ccn51,2017-03-01,2017-03-15,2017-03_Q1,119.93,1.028,0.639,0.557,-0.004,232.93,119.93,1.0,0.0,0.0,0.0,0.0,0.0,14.2458,108.38,0.0,8.2506,LOW
cacao_ccn51,2017-03-16,2017-03-31,2017-03_Q2,119.93,1.718,1.109,1.021,0.45,308.93,119.93,1.0,0.0,0.0,0.0,0.0,0.0,19.044,145.64,0.0,7.3921,MEDIUM
cacao_ccn51,2017-04-01,2017-04-15,2017-04_Q1,119.93,1.318,1.503,0.727,0.354,233.59,118.35,1.0,0.0,0.0,0.0,0.0,0.0,22.0309,169.13,0.0,0.0,MEDIUM
cacao_ccn51,2017-04-16,2017-04-30,2017-04_Q2,119.93,-0.637,0.759,0.873,0.359,121.48,112.37,1.0,0.0,0.0,0.0,2.7561,10.08,22.6585,174.57,0.0,0.0,MEDIUM
cacao_ccn51,2017-05-01,2017-05-15,2017-05_Q1,119.93,0.855,1.596,1.427,0.622,188.83,119.93,1.0,0.0,0.0,0.0,14.8863,54.48,22.7155,174.57,0.0,0.0,MEDIUM
