depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,40.77,26.01,14.76,7.38
5-15cm,40.21,25.52,14.7,14.7
15-30cm,38.48,24.78,13.7,20.55
30-60cm,39.51,26.4,13.11,39.34
60-100cm,39.37,26.17,13.2,52.8
