crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
cacao_ccn51,2018-02-16,2018-02-28,2018-02_Q2,134.03,-1.067,-0.746,-0.602,-1.182,21.08,0.0,0.8601,13.99,42.7001,60.94,16.6534,60.94,8.6487,60.94,0.0,0.0,HIGH
cacao_ccn51,2018-03-01,2018-03-15,2018-03_Q1,134.03,-1.732,-0.983,-0.803,-1.815,15.82,0.0,0.4077,59.23,0.0,0.0,0.0,0.0,0.0,0.0,4.3609,2.1074,LOW
cacao_ccn51,2018-03-16,2018-03-31,2018-03_Q2,134.03,-1.083,-0.796,-0.519,-1.763,162.31,80.53,0.573,42.7,0.0,0.0,0.0,0.0,0.0,0.0,20.1628,9.8515,LOW
cacao_ccn51,2018-04-01,2018-04-15,2018-04_Q1,134.03,0.446,-0.775,-0.522,-1.594,394.02,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9689,9.8569,LOW
cacao_ccn51,2018-04-16,2018-04-30,2018-04_Q2,134.03,0.692,-0.478,-0.219,-0.929,567.51,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4627,10.0599,LOW
cacao_ccn51,2018-05-01,2018-05-15,2018-05_Q1,134.03,0.784,-0.079,-0.367,-1.113,620.91,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9397,10.2661,LOW
cacao_ccn51,2018-05-16,2018-05-31,2018-05_Q2,134.03,0.425,0.46,-0.067,-0.931,583.02,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0716,10.3286,LOW
cacao_ccn51,2018-06-01,2018-06-15,2018-06_Q1,134.03,1.348,1.228,0.563,-0.602,645.17,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6534,10.3877,LOW
cacao_ccn51,2018-06-16,2018-06-30,2018-06_Q2,134.03,0.943,1.083,0.677,-0.676,518.33,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6027,LOW
cacao_ccn51,2018-07-01,2018-07-15,2018-07_Q1,134.03,-0.221,1.007,0.775,-0.262,334.02,134.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.821,LOW
cacao_ccn51,2018-07-16,2018-07-31,2018-07_Q2,134.03,0.762,0.995,0.895,-0.114,414.11,134.03,1.0,0.0,0.0,0.0,0.0,0.0,4.7439,37.55,0.0,10.9636,LOW
cacao_ccn51,2018-08-01,2018-08-15,2018-08_Q1,134.03,0.775,0.925,0.829,-0.031,387.72,134.03,1.0,0.0,0.0,0.0,0.0,0.0,13.6629,109.44,0.0,11.1037,LOW
cacao_ccn51,2018-08-16,2018-08-31,2018-08_Q2,134.03,-0.006,0.787,0.85,-0.005,302.39,134.03,1.0,0.0,0.0,0.0,0.0,0.0,16.5154,133.72,0.0,11.0558,MEDIUM
cacao_ccn51,2018-09-01,2018-09-15,2018-09_Q1,134.03,0.008,0.033,0.969,0.126,276.58,134.03,1.0,0.0,0.0,0.0,0.0,0.0,16.476,133.72,0.0,8.6487,MEDIUM
cacao_ccn51,2018-09-16,2018-09-30,2018-09_Q2,134.03,-0.481,-0.021,0.749,0.29,218.92,134.03,1.0,0.0,0.0,0.0,0.0,0.0,16.4368,133.72,0.0,0.0,MEDIUM
cacao_ccn51,2018-10-01,2018-10-15,2018-10_Q1,134.03,0.045,0.271,0.874,0.38,289.4,134.03,1.0,0.0,0.0,0.0,0.0,0.0,16.4389,133.72,0.0,0.0,MEDIUM
cacao_ccn51,2018-10-16,2018-10-31,2018-10_Q2,134.03,0.534,-0.005,0.739,0.442,332.2,134.03,1.0,0.0,0.0,0.0,9.2937,37.55,16.4537,133.72,0.0,0.0,MEDIUM
cacao_ccn51,2018-11-01,2018-11-15,2018-11_Q1,134.03,-1.296,-0.677,0.468,0.379,209.17,134.03,1.0,0.0,0.0,0.0,26.5335,109.44,16.446,133.72,0.0,0.0,MEDIUM
cacao_ccn51,2018-11-16,2018-11-30,2018-11_Q2,134.03,-1.352,-1.017,0.144,0.455,157.35,134.03,1.0,0.0,0.0,0.0,31.8092,133.72,16.4431,133.72,0.0,0.0,HIGH
cacao_ccn51,2018-12-01,2018-12-15,2018-12_Q1,134.03,-0.516,-0.655,-0.231,0.585,132.63,110.7,1.0,0.0,0.0,0.0,31.6325,133.72,16.7041,133.72,0.0,0.0,HIGH
cacao_ccn51,2018-12-16,2018-12-31,2018-12_Q2,134.03,-1.085,-1.136,-0.534,0.388,50.79,49.77,1.0,0.0,26.4163,37.55,31.4504,133.72,16.9769,133.72,0.0,0.0,HIGH
cacao_ccn51,2019-01-01,2019-01-15,2019-01_Q1,134.03,-1.609,-1.402,-0.991,0.279,31.07,3.01,1.0,0.0,76.6374,109.44,32.0701,133.72,17.2874,133.72,0.0,0.0,NOT_SUITABLE
cacao_ccn51,2019-01-16,2019-01-31,2019-01_Q2,134.03,-0.394,-1.509,-1.408,0.186,54.82,0.0,0.7358,26.42,67.1596,96.18,23.5306,96.18,12.6627,96.18,0.0,0.0,NOT_SUITABLE
cacao_ccn51,2019-02-01,2019-02-15,2019-02_Q1,134.03,-0.575,-1.731,-1.596,-0.081,30.35,0.0,0.2336,76.64,17.2033,24.29,6.0618,24.29,3.2447,24.29,9.2937,4.7439,MEDIUM
cacao_ccn51,2019-02-16,2019-02-28,2019-02_Q2,134.03,-0.91,-1.605,-1.527,0.043,47.03,0.0,0.3284,67.16,0.0,0.0,0.0,0.0,0.0,0.0,26.5335,13.6629,LOW
cacao_ccn51,2019-03-01,2019-03-15,2019-03_Q1,134.03,-0.399,-1.529,-1.503,0.231,121.58,4.69,0.828,17.2,0.0,0.0,0.0,0.0,0.0,0.0,31.8092,16.5154,LOW
