depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,42.76,24.66,18.1,9.05
5-15cm,42.51,24.42,18.09,18.09
15-30cm,39.71,23.37,16.34,24.5
30-60cm,39.45,23.89,15.56,46.68
60-100cm,39.08,23.96,15.12,60.48
