depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,40.54,25.86,14.68,7.34
5-15cm,39.2,24.71,14.48,14.48
15-30cm,38.61,25.21,13.4,20.09
30-60cm,38.84,25.69,13.15,39.45
60-100cm,40.13,27.3,12.83,51.3
