depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,37.53,22.2,15.33,7.66
5-15cm,36.77,21.44,15.32,15.32
15-30cm,36.3,22.32,13.98,20.97
30-60cm,37.37,24.03,13.33,40.0
60-100cm,36.79,23.49,13.3,53.21
