property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,53.599999999999994,53.599999999999994,54.0,54.6,54.6
soc,669.5875,667.4,477.9375,408.2875,397.71250000000003
clay,335.0,338.79999999999995,368.4,385.0,413.4
sand,343.4,341.2,328.2,311.59999999999997,284.2
silt,321.6,320.0,303.40000000000003,303.40000000000003,302.40000000000003
bdod,99.12499999999999,100.4875,101.8625,103.89999999999999,106.96249999999999
cec,264.2,247.79999999999998,234.2,225.60000000000002,224.0
