depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.67,24.89,14.79,7.39
5-15cm,38.88,24.5,14.38,14.38
15-30cm,38.77,25.59,13.18,19.77
30-60cm,39.1,26.0,13.1,39.29
60-100cm,39.67,26.72,12.96,51.83
