property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,59.23456790123457,59.23456790123457,60.0,60.0,61.0
soc,342.96296296296293,234.29629629629628,148.96296296296296,109.70370370370368,59.07407407407407
clay,288.18518518518516,285.95061728395063,348.95061728395063,375.41975308641975,387.9506172839506
sand,291.5308641975309,293.7654320987655,255.2962962962963,245.29629629629633,236.76543209876547
silt,420.28395061728395,419.51851851851853,394.7530864197531,379.5185185185186,375.283950617284
bdod,133.37037037037038,135.1851851851852,138.37037037037035,139.18518518518516,139.81481481481484
cec,194.7037037037037,191.23456790123458,193.0,196.0,188.0
