depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,37.22,21.42,15.8,7.9
5-15cm,35.32,20.88,14.44,14.44
15-30cm,34.06,20.49,13.57,20.35
30-60cm,35.53,22.19,13.33,39.99
60-100cm,35.13,21.77,13.35,53.42
