depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,41.15,25.47,15.68,7.84
5-15cm,39.37,24.45,14.92,14.92
15-30cm,38.85,24.78,14.06,21.1
30-60cm,39.34,26.07,13.27,39.82
60-100cm,39.17,25.92,13.25,53.01
