property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,51.0,51.0,51.0,51.0,51.0
soc,385.13580246913585,302.0246913580247,237.86419753086423,113.28395061728396,129.49382716049382
clay,267.0,269.0,268.0,327.0,365.0
sand,414.0,404.0,396.0,354.0,323.0
silt,319.0,326.0,336.0,319.0,311.0
bdod,131.41975308641977,134.8395061728395,135.0,135.1604938271605,140.0
cec,140.0,116.0,106.0,97.0,96.0
