depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,38.72,24.97,13.75,6.87
5-15cm,37.33,23.68,13.66,13.66
15-30cm,37.4,23.81,13.59,20.39
30-60cm,39.65,26.56,13.09,39.27
60-100cm,40.44,27.44,13.0,52.01
