depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,37.18,22.58,14.6,7.3
5-15cm,36.07,21.98,14.09,14.09
15-30cm,33.91,20.66,13.25,19.88
30-60cm,34.94,21.93,13.01,39.02
60-100cm,35.12,22.1,13.02,52.09
