depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,19.08,11.67,7.4,3.7
5-15cm,20.68,12.88,7.8,7.8
15-30cm,25.73,16.82,8.91,13.37
30-60cm,29.29,19.57,9.72,29.16
60-100cm,30.21,20.3,9.9,39.62
