depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,22.31,13.96,8.36,4.18
5-15cm,23.0,14.67,8.33,8.33
15-30cm,22.54,14.54,7.99,11.99
30-60cm,24.15,15.77,8.37,25.12
60-100cm,24.36,16.01,8.34,33.37
