depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,26.66,16.68,9.98,4.99
5-15cm,27.48,17.74,9.74,9.74
15-30cm,23.63,15.06,8.56,12.85
30-60cm,24.79,15.83,8.96,26.88
60-100cm,26.2,17.02,9.19,36.74
