depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,39.33,27.5,11.83,5.91
5-15cm,41.48,29.54,11.94,11.94
15-30cm,38.95,26.99,11.96,17.93
30-60cm,38.06,26.02,12.04,36.12
60-100cm,38.23,26.16,12.07,48.27
