depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,22.07,13.47,8.6,4.3
5-15cm,22.52,14.04,8.48,8.48
15-30cm,24.68,15.79,8.89,13.33
30-60cm,27.65,18.1,9.56,28.68
60-100cm,28.4,18.59,9.81,39.24
