depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,26.94,16.36,10.58,5.29
5-15cm,20.76,12.75,8.01,8.01
15-30cm,23.59,14.84,8.75,13.13
30-60cm,27.83,18.16,9.67,29.01
60-100cm,29.97,19.77,10.2,40.79
