depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,36.11,24.42,11.69,5.84
5-15cm,36.67,24.96,11.71,11.71
15-30cm,37.79,25.98,11.81,17.72
30-60cm,36.49,24.72,11.77,35.3
60-100cm,37.0,25.13,11.87,47.49
