depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,24.06,15.44,8.63,4.31
5-15cm,25.76,16.74,9.01,9.01
15-30cm,27.4,18.16,9.24,13.86
30-60cm,30.48,20.66,9.82,29.45
60-100cm,30.01,20.16,9.84,39.37
