property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,73.0,74.88405797101449,76.0,82.0,84.72463768115941
soc,237.08823529411762,160.7941176470588,155.52941176470588,110.86764705882352,122.49999999999999
clay,210.13043478260866,248.3043478260869,290.4492753623188,367.66666666666663,376.4927536231883
sand,665.1449275362318,629.4927536231883,591.5942028985506,519.9130434782608,504.47826086956513
silt,124.63768115942025,122.20289855072461,117.231884057971,112.42028985507244,119.66666666666663
bdod,106.6029411764706,118.60294117647058,132.0,143.22058823529412,145.60294117647058
cec,200.91304347826085,169.40579710144928,152.76811594202897,153.14492753623185,164.55072463768116
