depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,14.13,7.71,6.41,3.21
5-15cm,18.21,10.91,7.31,7.31
15-30cm,24.1,15.63,8.46,12.7
30-60cm,30.28,20.48,9.79,29.38
60-100cm,32.34,22.06,10.27,41.1
