crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
wheat,2016-12-16,2016-12-31,2016-12_Q2,100.38,1.796,0.838,0.252,1.34,29.67,0.0,0.1359,86.41,97.1172,192.02,81.3475,342.79,70.8897,448.93,87.9549,65.0839,NOT_SUITABLE
wheat,2017-01-01,2017-01-15,2017-01_Q1,100.38,1.022,0.538,-0.212,1.191,13.76,0.0,0.0665,93.35,71.9846,110.33,73.5771,260.61,62.0849,345.72,88.9369,69.509,NOT_SUITABLE
wheat,2017-01-16,2017-01-31,2017-01_Q2,100.38,-0.371,0.45,0.806,0.914,5.7,0.0,0.0288,97.12,66.7229,79.88,70.1168,212.32,51.5334,256.91,91.1542,74.3343,NOT_SUITABLE
wheat,2017-02-01,2017-02-15,2017-02_Q1,100.38,1.56,1.596,1.557,1.345,42.94,0.0,0.2802,71.98,70.0225,77.22,70.2155,192.2,48.5917,235.39,92.9408,78.5276,NOT_SUITABLE
wheat,2017-02-16,2017-02-28,2017-02_Q2,100.38,1.798,1.712,1.436,1.362,39.84,0.0,0.3328,66.72,68.195,70.89,61.1777,153.82,38.7085,184.87,85.3216,79.1005,NOT_SUITABLE
wheat,2017-03-01,2017-03-15,2017-03_Q1,100.38,1.73,1.75,1.682,1.545,33.06,0.0,0.2998,70.02,80.5946,73.05,66.9658,154.06,39.6074,196.93,85.9635,83.5432,NOT_SUITABLE
wheat,2017-03-16,2017-03-31,2017-03_Q2,100.38,0.973,1.309,1.653,1.25,33.06,0.0,0.318,68.2,77.7749,61.55,50.0916,106.14,34.252,177.39,80.9201,84.9715,NOT_SUITABLE
wheat,2017-04-01,2017-04-15,2017-04_Q1,100.38,0.106,1.387,1.547,1.25,17.59,0.0,0.1941,80.59,57.5858,41.93,41.9983,85.11,41.0959,238.81,81.3475,86.033,NOT_SUITABLE
wheat,2017-04-16,2017-04-30,2017-04_Q2,100.38,-0.655,1.416,1.318,0.982,17.59,0.0,0.2223,77.77,31.2816,21.38,22.7802,44.58,44.0384,279.56,73.5771,85.1368,HIGH
wheat,2017-05-01,2017-05-15,2017-05_Q1,100.38,0.042,0.687,1.494,1.31,30.88,0.0,0.4241,57.59,58.6723,39.08,20.4969,43.18,54.9995,402.37,70.1168,85.8747,NOT_SUITABLE
wheat,2017-05-16,2017-05-31,2017-05_Q2,100.38,0.194,0.213,1.455,0.923,46.96,0.0,0.6872,31.28,36.0314,23.21,13.7308,31.06,59.5676,479.89,70.2155,80.5682,NOT_SUITABLE
wheat,2017-06-01,2017-06-15,2017-06_Q1,100.38,-1.25,-0.967,0.739,-0.092,27.53,0.0,0.4133,58.67,6.4841,4.1,16.0468,42.87,63.186,559.38,61.1777,78.0475,NOT_SUITABLE
wheat,2017-06-16,2017-06-30,2017-06_Q2,100.38,-1.474,-1.153,0.205,0.308,41.2,0.0,0.6397,36.03,0.0,0.0,23.2839,71.25,68.7485,651.51,66.9658,76.3371,NOT_SUITABLE
wheat,2017-07-01,2017-07-15,2017-07_Q1,100.38,0.24,-0.732,0.342,0.235,72.09,12.96,0.9352,6.48,0.0,0.0,40.6127,153.7,71.4133,718.66,50.0916,70.8897,NOT_SUITABLE
wheat,2017-07-16,2017-07-31,2017-07_Q2,100.38,0.921,-0.25,0.76,0.884,83.73,20.76,1.0,0.0,7.9443,7.85,53.5134,234.98,75.8567,798.34,41.9983,62.0849,NOT_SUITABLE
wheat,2017-08-01,2017-08-15,2017-08_Q1,100.38,-0.062,-0.898,-0.36,0.652,71.52,3.64,1.0,0.0,31.4996,38.77,68.9544,359.19,80.2349,857.91,22.7802,51.5334,NOT_SUITABLE
wheat,2017-08-16,2017-08-31,2017-08_Q2,100.38,-0.4,-0.658,-0.257,0.811,70.19,0.0,0.9206,7.94,43.9574,63.4,77.4593,448.83,84.0591,906.83,20.4969,48.5917,NOT_SUITABLE
wheat,2017-09-01,2017-09-15,2017-09_Q1,100.38,0.739,0.67,-0.751,0.7,80.67,0.0,0.685,31.5,65.8485,114.94,83.5588,516.51,86.2243,916.97,13.7308,38.7085,NOT_SUITABLE
wheat,2017-09-16,2017-09-30,2017-09_Q2,100.38,1.855,1.083,0.159,1.105,80.83,0.0,0.5604,43.96,83.5057,163.73,90.4296,580.26,89.8477,940.57,16.0468,39.6074,NOT_SUITABLE
wheat,2017-10-01,2017-10-15,2017-10_Q1,100.38,1.77,1.019,0.377,1.098,59.61,0.0,0.3415,65.85,92.0281,205.48,89.9789,564.96,91.1695,897.09,23.2839,34.252,NOT_SUITABLE
wheat,2017-10-16,2017-10-31,2017-10_Q2,100.38,0.308,0.891,0.332,1.111,32.34,0.0,0.1649,83.51,92.7073,221.7,91.8527,563.36,89.6137,834.16,40.6127,41.0959,NOT_SUITABLE
wheat,2017-11-01,2017-11-15,2017-11_Q1,100.38,-0.582,0.744,-0.19,1.163,17.8,0.0,0.0797,92.03,89.0064,196.09,90.9509,498.72,88.984,741.78,53.5134,44.0384,NOT_SUITABLE
wheat,2017-11-16,2017-11-30,2017-11_Q2,100.38,-1.155,0.348,-0.025,1.094,17.44,0.0,0.0729,92.71,94.3668,194.83,91.7174,458.0,85.7171,650.07,68.9544,54.9995,NOT_SUITABLE
wheat,2017-12-01,2017-12-15,2017-12_Q1,100.38,-0.35,0.095,0.345,0.914,24.22,0.0,0.1099,89.01,88.6586,163.38,89.9242,400.46,82.1799,552.48,77.4593,59.5676,NOT_SUITABLE
wheat,2017-12-16,2017-12-31,2017-12_Q2,100.38,0.323,-0.37,0.303,0.534,11.63,0.0,0.0563,94.37,87.5397,146.83,88.9261,360.32,75.6369,456.25,83.5588,63.186,NOT_SUITABLE
wheat,2018-01-01,2018-01-15,2018-01_Q1,100.38,1.451,0.051,0.734,0.712,20.9,0.0,0.1134,88.66,96.8696,139.25,93.2688,332.13,70.9521,389.09,90.4296,68.7485,NOT_SUITABLE
wheat,2018-01-16,2018-01-31,2018-01_Q2,100.38,1.157,-0.005,0.538,0.758,20.9,0.0,0.1246,87.54,92.9455,116.34,85.2886,270.8,61.0316,309.42,89.9789,71.4133,NOT_SUITABLE
wheat,2018-02-01,2018-02-15,2018-02_Q1,100.38,-0.006,0.488,0.681,0.27,4.5,0.0,0.0313,96.87,83.4004,97.82,85.2032,243.05,51.5879,249.84,91.8527,75.8567,NOT_SUITABLE
wheat,2018-02-16,2018-02-28,2018-02_Q2,100.38,0.394,0.932,0.624,0.256,8.83,0.0,0.0705,92.95,86.5167,97.15,74.15,192.07,41.1443,193.08,90.9509,80.2349,NOT_SUITABLE
