property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,65.72058823529412,66.7205882352941,69.72058823529413,75.95588235294117,78.95588235294117
soc,265.3382352941176,167.36764705882354,88.74999999999999,44.52941176470588,44.4264705882353
clay,259.42647058823525,250.54411764705884,401.72058823529414,464.88235294117646,459.10294117647055
sand,624.0,630.4117647058823,499.9117647058824,438.30882352941177,441.04411764705884
silt,116.42647058823529,119.80882352941177,97.6470588235294,96.80882352941177,99.8529411764706
bdod,115.0,124.73529411764704,133.0,139.29411764705884,144.0
cec,179.01470588235293,171.9411764705882,169.7941176470588,175.1764705882353,183.61764705882354
