property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,61.069767441860456,63.93023255813954,65.93023255813952,68.93023255813954,68.93023255813954
soc,129.953488372093,130.51162790697674,59.0,66.06976744186046,47.0
clay,120.86046511627906,175.58139534883722,332.2325581395349,348.5581395348837,340.41860465116275
sand,804.720930232558,751.860465116279,607.3488372093024,584.0930232558139,568.7906976744185
silt,74.41860465116278,73.4186046511628,60.418604651162795,67.27906976744185,91.72093023255813
bdod,121.51162790697674,129.0,135.51162790697674,146.5116279069767,148.0
cec,160.13953488372093,156.3488372093023,171.3488372093023,174.48837209302323,179.3488372093023
