depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,16.72,9.86,6.86,3.43
5-15cm,22.65,14.52,8.13,8.13
15-30cm,26.18,17.36,8.82,13.23
30-60cm,28.17,18.83,9.34,28.03
60-100cm,30.99,20.89,10.1,40.42
