depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,20.7,11.83,8.87,4.43
5-15cm,23.7,14.49,9.21,9.21
15-30cm,26.28,16.71,9.57,14.36
30-60cm,30.91,20.23,10.67,32.02
60-100cm,32.48,21.35,11.13,44.5
