crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
wheat,2016-12-16,2016-12-31,2016-12_Q2,119.49,0.352,0.474,1.183,0.652,41.35,0.0,0.1567,84.33,92.1678,201.7,88.8561,410.72,77.799,446.98,83.228,67.9216,NOT_SUITABLE
wheat,2017-01-01,2017-01-15,2017-01_Q1,119.49,-0.382,-0.059,0.748,0.515,15.66,0.0,0.0661,93.39,84.7265,142.62,86.1105,319.34,71.0558,338.73,87.4203,71.065,NOT_SUITABLE
wheat,2017-01-16,2017-01-31,2017-01_Q2,119.49,-0.611,-0.151,0.761,0.4,17.14,0.0,0.0783,92.17,93.437,122.01,78.8657,235.83,65.6033,264.06,88.7546,75.3863,NOT_SUITABLE
wheat,2017-02-01,2017-02-15,2017-02_Q1,119.49,-0.163,-0.192,0.784,0.499,25.71,0.0,0.1527,84.73,78.5058,94.23,75.3303,186.18,57.6436,218.25,89.703,77.6888,NOT_SUITABLE
wheat,2017-02-16,2017-02-28,2017-02_Q2,119.49,0.078,-0.25,0.631,0.494,8.57,0.0,0.0656,93.44,77.1286,87.0,60.8091,123.27,54.7988,201.22,88.8674,80.6599,NOT_SUITABLE
wheat,2017-03-01,2017-03-15,2017-03_Q1,119.49,0.39,-0.324,0.366,0.603,25.8,0.0,0.2149,78.51,100.0,82.49,59.0259,91.94,65.6971,278.74,89.0671,83.7149,NOT_SUITABLE
wheat,2017-03-16,2017-03-31,2017-03_Q2,119.49,-0.938,-0.915,-0.119,0.586,25.8,0.0,0.2287,77.13,48.1908,26.81,32.2914,36.27,68.0728,324.0,87.2128,84.9144,NOT_SUITABLE
wheat,2017-04-01,2017-04-15,2017-04_Q1,119.49,-1.436,-0.664,-0.412,0.596,0.0,0.0,0.0,100.0,21.1819,9.45,18.3132,19.39,72.235,441.66,88.8561,87.9662,NOT_SUITABLE
wheat,2017-04-16,2017-04-30,2017-04_Q2,119.49,0.44,-0.186,-0.455,0.754,29.99,1.16,0.5181,48.19,27.5795,9.45,27.2799,28.23,77.142,549.91,86.1105,87.885,NOT_SUITABLE
wheat,2017-05-01,2017-05-15,2017-05_Q1,119.49,0.189,-0.63,-0.706,0.684,35.17,0.0,0.7882,21.18,0.0,0.0,24.3964,32.08,80.3696,683.27,78.8657,86.6315,NOT_SUITABLE
wheat,2017-05-16,2017-05-31,2017-05_Q2,119.49,0.721,-0.135,-0.477,0.691,42.09,18.43,0.7242,27.58,0.0,0.0,47.3914,77.95,83.4763,797.46,75.3303,85.2352,NOT_SUITABLE
wheat,2017-06-01,2017-06-15,2017-06_Q1,119.49,0.882,-0.51,-0.574,0.687,40.87,12.22,1.0,0.0,30.4909,9.93,69.5672,186.8,81.3024,866.21,60.8091,82.0479,NOT_SUITABLE
wheat,2017-06-16,2017-06-30,2017-06_Q2,119.49,-1.277,-0.069,-0.692,0.545,9.44,5.48,1.0,0.0,40.1106,18.78,79.1233,287.73,80.9492,934.5,59.0259,80.7661,NOT_SUITABLE
wheat,2017-07-01,2017-07-15,2017-07_Q1,119.49,-1.055,-0.32,-0.692,0.316,10.43,0.0,0.6951,30.49,31.5219,22.14,83.5252,422.27,81.7829,1013.88,32.2914,77.799,NOT_SUITABLE
wheat,2017-07-16,2017-07-31,2017-07_Q2,119.49,-0.307,-0.376,-0.573,0.454,22.56,0.0,0.5989,40.11,62.1092,59.17,85.6096,521.68,82.4717,1076.47,18.3132,71.0558,NOT_SUITABLE
wheat,2017-08-01,2017-08-15,2017-08_Q1,119.49,1.469,0.608,-0.254,0.486,48.1,0.0,0.6848,31.52,93.3793,154.72,90.6092,651.19,85.038,1127.06,27.2799,65.6033,NOT_SUITABLE
wheat,2017-08-16,2017-08-31,2017-08_Q2,119.49,0.666,-0.345,-0.458,0.323,36.1,0.0,0.3789,62.11,94.6831,209.78,90.9816,719.51,85.2139,1137.29,24.3964,57.6436,NOT_SUITABLE
wheat,2017-09-01,2017-09-15,2017-09_Q1,119.49,-0.693,0.09,-0.703,-0.095,10.97,0.0,0.0662,93.38,91.0172,245.41,85.2566,679.41,84.8439,1074.7,47.3914,54.7988,NOT_SUITABLE
wheat,2017-09-16,2017-09-30,2017-09_Q2,119.49,-0.726,-0.081,-0.272,-0.409,11.78,0.0,0.0532,94.68,86.3913,252.72,81.7888,646.77,83.5662,1007.85,69.5672,65.6971,NOT_SUITABLE
wheat,2017-10-01,2017-10-15,2017-10_Q1,119.49,-0.343,0.158,-0.059,-0.382,24.22,0.0,0.0898,91.02,88.6013,251.06,80.5832,591.61,83.2698,897.89,79.1233,68.0728,NOT_SUITABLE
wheat,2017-10-16,2017-10-31,2017-10_Q2,119.49,0.057,0.026,-0.26,-0.455,39.81,0.0,0.1361,86.39,92.8705,257.01,79.7239,554.79,83.2214,819.39,83.5252,72.235,NOT_SUITABLE
wheat,2017-11-01,2017-11-15,2017-11_Q1,119.49,-0.677,-0.931,-0.099,-0.497,32.3,0.0,0.114,88.6,75.0026,182.94,78.4381,475.86,79.6493,676.57,85.6096,77.142,NOT_SUITABLE
wheat,2017-11-16,2017-11-30,2017-11_Q2,119.49,-1.129,-1.203,-0.864,-0.603,19.73,0.0,0.0713,92.87,61.8658,137.04,76.8261,417.78,77.0415,575.3,90.6092,80.3696,NOT_SUITABLE
wheat,2017-12-01,2017-12-15,2017-12_Q1,119.49,0.998,0.108,0.08,-0.376,60.97,0.0,0.25,75.0,76.1801,157.61,84.1438,395.29,79.4923,507.9,90.9816,83.4763,NOT_SUITABLE
wheat,2017-12-16,2017-12-31,2017-12_Q2,119.49,1.929,0.351,0.202,-0.425,84.47,0.0,0.3813,61.87,81.3306,160.75,86.9507,361.08,79.5447,439.61,85.2566,81.3024,NOT_SUITABLE
