depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,31.17,18.39,12.78,6.39
5-15cm,30.4,18.3,12.1,12.1
15-30cm,35.48,23.19,12.29,18.44
30-60cm,36.48,24.41,12.06,36.19
60-100cm,35.5,23.49,12.01,48.05
