depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,14.97,8.45,6.52,3.26
5-15cm,18.05,10.83,7.22,7.22
15-30cm,23.72,15.43,8.29,12.43
30-60cm,26.44,17.43,9.01,27.03
60-100cm,28.13,18.61,9.52,38.07
