depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,18.24,10.52,7.73,3.86
5-15cm,22.11,13.68,8.43,8.43
15-30cm,25.68,16.52,9.16,13.75
30-60cm,29.43,19.37,10.05,30.16
60-100cm,29.77,19.42,10.35,41.4
