depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,16.84,10.06,6.78,3.39
5-15cm,21.29,13.59,7.69,7.69
15-30cm,24.06,15.69,8.36,12.55
30-60cm,25.82,17.02,8.8,26.4
60-100cm,26.33,17.18,9.15,36.59
