depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,20.37,12.17,8.2,4.1
5-15cm,25.91,16.59,9.32,9.32
15-30cm,27.74,18.18,9.56,14.34
30-60cm,29.84,19.83,10.01,30.04
60-100cm,31.83,21.41,10.42,41.69
