depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,24.07,14.69,9.38,4.69
5-15cm,26.76,17.04,9.72,9.72
15-30cm,29.68,19.52,10.16,15.23
30-60cm,34.09,23.12,10.97,32.92
60-100cm,34.16,23.06,11.1,44.39
