depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,15.54,8.74,6.8,3.4
5-15cm,19.33,11.77,7.55,7.55
15-30cm,26.8,17.6,9.2,13.79
30-60cm,27.32,18.05,9.28,27.83
60-100cm,27.71,18.48,9.23,36.91
