property,0-5cm,5-15cm,15-30cm,30-60cm,60-100cm
phh2o,80.0,83.0,87.6,93.0,94.59999999999998
soc,186.81395348837208,135.953488372093,77.02325581395348,50.046511627906966,37.81395348837209
clay,213.45882352941175,238.71764705882347,275.0588235294117,288.3999999999999,290.0588235294117
sand,720.5999999999999,701.8823529411764,663.9411764705882,654.7411764705881,648.1411764705882
silt,66.0,59.399999999999984,60.6,57.74117647058823,61.8
bdod,115.02325581395347,130.0,135.0,143.0,145.6046511627907
cec,206.1176470588235,184.57647058823528,185.25882352941173,192.6,190.3411764705882
