depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,24.64,15.65,9.0,4.5
5-15cm,25.81,16.68,9.13,9.13
15-30cm,26.78,17.58,9.2,13.8
30-60cm,28.9,19.34,9.56,28.67
60-100cm,28.37,18.91,9.46,37.84
