depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,20.32,11.42,8.89,4.45
5-15cm,23.52,13.99,9.53,9.53
15-30cm,28.86,18.5,10.36,15.54
30-60cm,35.31,23.94,11.37,34.12
60-100cm,35.99,24.04,11.94,47.78
