depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,23.46,15.11,8.35,4.17
5-15cm,24.18,15.88,8.31,8.31
15-30cm,25.9,17.28,8.62,12.93
30-60cm,26.4,17.75,8.66,25.97
60-100cm,26.42,17.73,8.69,34.76
