depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,27.06,17.01,10.05,5.02
5-15cm,26.32,16.86,9.46,9.46
15-30cm,27.83,18.1,9.73,14.6
30-60cm,30.94,20.67,10.27,30.81
60-100cm,31.74,21.2,10.54,42.16
