crop,period_start,period_end,label,AWC_mm,spei_1m,spei_3m,spei_6m,spei_12m,P_acum_mm,Storage_mm,WRSI_1m,deficit_1m,future_deficit_1m,future_deficit_1m_mm,future_deficit_3m,future_deficit_3m_mm,future_deficit_6m,future_deficit_6m_mm,past_deficit_3m,past_deficit_6m,suggestion
wheat,2016-12-16,2016-12-31,2016-12_Q2,114.42,0.486,0.584,1.202,0.84,42.02,0.0,0.1595,84.05,94.3723,212.97,86.2368,402.82,76.9238,444.61,78.2994,59.9524,NOT_SUITABLE
wheat,2017-01-01,2017-01-15,2017-01_Q1,114.42,-0.286,0.329,0.88,0.774,16.98,0.0,0.0705,92.95,91.1103,157.63,83.7695,310.81,69.8884,332.85,86.5859,64.0324,NOT_SUITABLE
wheat,2017-01-16,2017-01-31,2017-01_Q2,114.42,-0.609,-0.165,0.801,0.63,12.7,0.0,0.0563,94.37,94.9706,127.46,75.1789,222.47,62.143,248.33,86.096,68.5854,NOT_SUITABLE
wheat,2017-02-01,2017-02-15,2017-02_Q1,114.42,-0.639,-0.412,0.678,0.663,15.38,0.0,0.0889,91.11,77.4681,91.94,69.7062,168.69,59.5885,221.52,89.4882,71.9338,NOT_SUITABLE
wheat,2017-02-16,2017-02-28,2017-02_Q2,114.42,-0.505,-0.304,0.62,0.689,6.75,0.0,0.0503,94.97,58.1861,62.4,53.1444,104.18,53.6429,191.3,90.631,75.0907,NOT_SUITABLE
wheat,2017-03-01,2017-03-15,2017-03_Q1,114.42,0.419,-0.373,0.336,0.741,26.74,0.0,0.2253,77.47,77.1878,61.24,50.5477,76.75,67.1638,283.45,90.138,78.9769,NOT_SUITABLE
wheat,2017-03-16,2017-03-31,2017-03_Q2,114.42,0.153,-0.509,0.039,0.822,44.84,0.0,0.4181,58.19,59.8688,32.61,37.686,41.78,72.7114,349.43,88.9006,82.7535,NOT_SUITABLE
wheat,2017-04-01,2017-04-15,2017-04_Q1,114.42,-0.457,-0.434,-0.158,0.834,18.1,0.0,0.2281,77.19,35.2617,15.51,20.9456,22.04,74.1534,456.8,86.2368,86.4543,NOT_SUITABLE
wheat,2017-04-16,2017-04-30,2017-04_Q2,114.42,0.113,-0.032,-0.416,0.926,21.86,0.0,0.4013,59.87,26.7191,9.17,24.9404,25.86,79.1094,567.72,83.7695,85.3423,NOT_SUITABLE
wheat,2017-05-01,2017-05-15,2017-05_Q1,114.42,-0.373,-0.428,-0.54,0.748,28.47,0.0,0.6474,35.26,0.0,0.0,40.7188,52.83,81.921,696.09,75.1789,85.5241,NOT_SUITABLE
