depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,15.88,9.58,6.3,3.15
5-15cm,19.45,12.39,7.07,7.07
15-30cm,24.66,16.45,8.21,12.31
30-60cm,26.12,17.47,8.65,25.96
60-100cm,27.5,18.33,9.17,36.67
