depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,22.07,12.05,10.02,5.01
5-15cm,19.2,10.62,8.57,8.57
15-30cm,19.49,11.19,8.3,12.45
30-60cm,36.98,25.43,11.55,34.64
60-100cm,37.76,26.05,11.71,46.85
