depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,16.21,9.39,6.82,3.41
5-15cm,17.54,10.43,7.11,7.11
15-30cm,23.67,15.35,8.32,12.48
30-60cm,29.12,19.58,9.55,28.64
60-100cm,30.27,20.35,9.92,39.68
