depth,Field_Capacity_CC_%,Wilting_Point_PMP_%,Available_Water_Capacity_AWC_%,AWC_layer_mm
0-5cm,22.55,13.91,8.64,4.32
5-15cm,21.57,13.42,8.15,8.15
15-30cm,24.21,15.46,8.75,13.13
30-60cm,27.07,17.72,9.35,28.05
60-100cm,27.84,18.27,9.57,38.29
